"Fecha","Proyecto","Tarea","Un","Integrante"
01/08/19,"ProyectoE","Revisión",32,"SD"
01/08/19,"ProyectoL","Test",24,"LC"
01/08/19,"ProyectoI","Test",24,"LC"
01/08/19,"ProyectoF","Revisión",36,"SD"
01/08/19,"ProyectoF","Revisión",2,"GD"
01/08/19,"ProyectoM","Test",4,"LC"
01/08/19,"ProyectoF","Entrega",3,"SD"
01/08/19,"ProyectoL","Desarrollo",112,"CA"
01/08/19,"ProyectoB","Desarrollo",8,"CA"
01/08/19,"ProyectoB","Revisión",40,"SD"
01/08/19,"ProyectoB","Revisión",3,"GD"
01/08/19,"ProyectoG","Revisión",1,"GD"
01/08/19,"ProyectoF","Test",1,"LC"
01/08/19,"ProyectoI","Test",1,"LC"
01/08/19,"ProyectoL","Revisión",50,"AA"
01/08/19,"ProyectoE","Entrega",34,"AA"
01/08/19,"ProyectoB","Revisión",3,"LM"
01/08/19,"ProyectoA","Corrección",2,"LM"
01/08/19,"ProyectoE","Desarrollo",16,"CA"
01/08/19,"ProyectoF","Desarrollo",35,"NS"
01/08/19,"ProyectoF","Desarrollo",5,"NS"
01/08/19,"ProyectoG","Revisión",3,"GD"
01/08/19,"ProyectoH","Revisión",2,"GD"
01/08/19,"ProyectoD","Corrección",1,"GD"
01/08/19,"ProyectoG","Filtros",16,"SD"
01/08/19,"ProyectoG","Revisión",32,"SD"
01/08/19,"ProyectoH","Revisión",8,"SD"
01/08/19,"Generales","Asignación",16,"MI"
01/08/19,"Generales","Asignación",6,"MI"
01/09/19,"ProyectoG","Test",3,"LC"
01/09/19,"ProyectoB","Test",1,"LC"
01/09/19,"ProyectoB","Test",1,"LC"
01/09/19,"ProyectoG","Entrega",6,"SD"
01/09/19,"ProyectoH","Revisión",32,"SD"
01/09/19,"ProyectoH","Revisión",16,"SD"
01/09/19,"ProyectoH","Revisión",40,"SD"
01/09/19,"ProyectoH","Revisión",10,"GD"
01/09/19,"ProyectoF","Revisión",5,"GD"
01/09/19,"ProyectoH","Test",2,"LC"
01/09/19,"ProyectoH","Test",2,"LC"
01/09/19,"ProyectoH","Test",2,"LC"
01/09/19,"ProyectoA","Test",8,"LC"
01/09/19,"ProyectoL","Desarrollo",140,"CA"
01/09/19,"ProyectoL","Test",1,"AG"
01/09/19,"ProyectoH","Revisión",32,"SD"
01/09/19,"ProyectoB","Corrección",10,"GD"
01/09/19,"ProyectoL","Test",8,"LC"
01/09/19,"ProyectoI","Revisión",8,"SD"
01/09/19,"ProyectoH","Test",8,"LC"
01/09/19,"Generales","Asignación",16,"MI"
01/09/19,"Generales","Asignación",6,"MI"
01/09/19,"ProyectoE","Asignación",2,"MI"
01/09/19,"ProyectoB","Asignación",4,"MI"
01/09/19,"ProyectoL","Desarrollo",40,"CA"
01/09/19,"ProyectoL","Revisión",16,"AA"
01/09/19,"ProyectoB","Revisión",2,"LM"
01/09/19,"ProyectoA","Corrección",4,"LM"
01/09/19,"ProyectoB","Revisión",4,"LM"
01/09/19,"ProyectoL","Desarrollo",4,"CA"
01/09/19,"ProyectoL","Revisión",8,"AA"
01/10/19,"ProyectoJ","Reunión",1,"AG"
01/10/19,"ProyectoB","Test",1,"AG"
01/10/19,"ProyectoL","Desarrollo",24,"CA"
01/10/19,"ProyectoE","Desarrollo",14,"CA"
01/10/19,"ProyectoL","Test",4,"LC"
01/10/19,"ProyectoB","Test",1,"LC"
01/10/19,"ProyectoJ","Capacitación",1,"LC"
01/10/19,"ProyectoH","Test",3,"LC"
01/10/19,"ProyectoH","Test",4,"LC"
01/10/19,"ProyectoI","Test",1,"LC"
01/10/19,"ProyectoF","Test",1,"LC"
01/10/19,"ProyectoF","Test",1,"AG"
01/10/19,"ProyectoI","Desarrollo",10,"CA"
01/10/19,"ProyectoJ","Test",1,"AG"
01/10/19,"ProyectoJ","Capacitación",1,"LC"
01/10/19,"ProyectoL","Desarrollo",2,"CA"
01/10/19,"ProyectoJ","Desarrollo",16,"CA"
01/10/19,"ProyectoF","Test",4,"AG"
01/10/19,"ProyectoJ","Test",4,"LC"
01/10/19,"ProyectoJ","Desarrollo",16,"CA"
01/10/19,"ProyectoL","Desarrollo",60,"CA"
01/10/19,"ProyectoL","Desarrollo",6,"CA"
01/10/19,"ProyectoL","Corrección",16,"AA"
01/10/19,"ProyectoL","Entrega",4,"AA"
01/10/19,"ProyectoL","Test",4,"LC"
01/10/19,"ProyectoI","Revisión",1,"LM"
01/10/19,"ProyectoB","Revisión",2,"LM"
01/10/19,"ProyectoA","Corrección",2,"LM"
01/10/19,"ProyectoB","Test",2,"AG"
01/10/19,"ProyectoC","Test",4,"AG"
01/10/19,"ProyectoF","Test",4,"AG"
01/10/19,"ProyectoF","Capacitación",4,"LC"
01/10/19,"ProyectoC","Test",1,"AG"
01/10/19,"ProyectoE","Test",1,"LC"
01/10/19,"ProyectoE","Test",1,"AG"
01/10/19,"ProyectoC","Revisión",16,"SD"
01/10/19,"ProyectoC","Corrección",6,"SD"
01/10/19,"ProyectoC","Revisión",2,"LM"
01/10/19,"ProyectoJ","Test",8,"LC"
01/10/19,"ProyectoJ","Desarrollo",12,"CA"
01/10/19,"ProyectoL","Test",2,"LC"
01/10/19,"ProyectoL","Test",2,"AG"
01/10/19,"ProyectoJ","Test",1,"LC"
01/10/19,"ProyectoC","Test",2,"LC"
01/10/19,"ProyectoC","Test",2,"AG"
01/10/19,"ProyectoK","Revisión",20,"SD"
01/10/19,"ProyectoE","Desarrollo",8,"CA"
01/10/19,"ProyectoD","Desarrollo",4,"CA"
01/10/19,"Generales","Asignación",16,"MI"
01/10/19,"Generales","Asignación",6,"MI"
01/10/19,"ProyectoB","Asignación",4,"MI"
01/10/19,"ProyectoC","Revisión",3,"LM"
01/11/19,"ProyectoF","Test",2,"AG"
01/11/19,"ProyectoD","Desarrollo",12,"CA"
01/11/19,"ProyectoE","Desarrollo",8,"CA"
01/11/19,"ProyectoF","Desarrollo",16,"CA"
01/11/19,"ProyectoD","Desarrollo",3,"CA"
01/11/19,"ProyectoC","Revisión",28,"SD"
01/11/19,"ProyectoC","Revisión",28,"SD"
01/11/19,"ProyectoI","Entrega",2,"SD"
01/11/19,"ProyectoD","Desarrollo",2,"CA"
01/11/19,"ProyectoF","Desarrollo",16,"CA"
01/11/19,"ProyectoF","Test",2,"AG"
01/11/19,"ProyectoF","Test",1,"LC"
01/11/19,"ProyectoD","Test",2,"LC"
01/11/19,"ProyectoB","Test",2,"LC"
01/11/19,"ProyectoF","Test",4,"AG"
01/11/19,"ProyectoL","Test",2,"AG"
01/11/19,"ProyectoC","Test",5,"AG"
01/11/19,"ProyectoC","Test",1,"AG"
01/11/19,"ProyectoC","Test",1,"LC"
01/11/19,"ProyectoF","Desarrollo",48,"CA"
01/11/19,"ProyectoC","Test",3,"LC"
01/11/19,"ProyectoC","Revisión",10,"SD"
01/11/19,"ProyectoH","Revisión",16,"SD"
01/11/19,"ProyectoP","Test",1,"AG"
01/11/19,"ProyectoP","Test",1,"LC"
01/11/19,"ProyectoP","Test",3,"AG"
01/11/19,"ProyectoH","Test",2,"LC"
01/11/19,"ProyectoL","Desarrollo",30,"CA"
01/11/19,"ProyectoP","Test",1,"LC"
01/11/19,"ProyectoF","Test",1,"LC"
01/11/19,"ProyectoF","Test",1,"AG"
01/11/19,"ProyectoF","Desarrollo",20,"CA"
01/11/19,"ProyectoF","Desarrollo",1,"CA"
01/11/19,"ProyectoP","Test",2,"AG"
01/11/19,"ProyectoK","Revisión",34,"SD"
01/11/19,"Generales","Asignación",24,"MI"
01/11/19,"Generales","Asignación",8,"MI"
01/11/19,"ProyectoB","Asignación",8,"MI"
01/11/19,"ProyectoP","Asignación",2,"MI"
01/11/19,"ProyectoL","Asignación",4,"MI"
01/12/19,"ProyectoC","Test",4,"AG"
01/12/19,"ProyectoM","Test",8,"AG"
01/12/19,"ProyectoF","Test",2,"LC"
01/12/19,"ProyectoF","Desarrollo",8,"CA"
01/12/19,"ProyectoF","Desarrollo",5,"CA"
01/12/19,"ProyectoF","Desarrollo",3,"CA"
01/12/19,"ProyectoL","Desarrollo",2,"CA"
01/12/19,"ProyectoL","Desarrollo",15,"CA"
01/12/19,"ProyectoE","Desarrollo",24,"CA"
01/12/19,"Generales","Asignación",2,"MI"
01/12/19,"ProyectoF","Desarrollo",12,"CA"
01/12/19,"ProyectoC","Entrega",16,"SD"
01/12/19,"ProyectoC","Revisión",8,"SD"
01/12/19,"ProyectoC","Revisión",32,"SD"
01/12/19,"ProyectoE","Desarrollo",1,"CA"
01/12/19,"ProyectoC","Test",1,"AG"
01/12/19,"ProyectoC","Test",1,"LC"
01/12/19,"ProyectoC","Estimación",1,"AS"
01/12/19,"ProyectoL","Revisión",4,"AA"
01/12/19,"ProyectoF","Desarrollo",16,"CA"
01/12/19,"ProyectoF","Desarrollo",4,"CA"
01/12/19,"ProyectoF","Test",1,"AG"
01/12/19,"ProyectoF","Test",1,"AG"
01/12/19,"ProyectoO","Test",2,"AG"
01/12/19,"ProyectoE","Bug",24,"CA"
01/12/19,"ProyectoF","Test",4,"LC"
01/12/19,"ProyectoF","Test",6,"LC"
01/12/19,"ProyectoF","Desarrollo",6,"CA"
01/12/19,"Generales","Asignación",16,"MI"
01/12/19,"ProyectoC","Desarrollo",16,"PA"
01/12/19,"ProyectoC","Desarrollo",4,"PA"
01/01/20,"ProyectoF","Test",10,"AG"
01/01/20,"ProyectoM","Desarrollo",16,"PA"
01/01/20,"ProyectoM","Desarrollo",160,"PA"
01/01/20,"ProyectoF","Desarrollo",12,"CA"
01/01/20,"ProyectoE","Desarrollo",16,"CA"
01/01/20,"ProyectoE","Desarrollo",36,"CA"
01/01/20,"ProyectoF","Test",1,"AG"
01/01/20,"ProyectoF","Asignación",1,"MI"
01/01/20,"ProyectoF","Reunion",1,"AS"
01/01/20,"ProyectoF","Desarrollo",16,"CA"
01/01/20,"ProyectoF","Test",4,"LC"
01/01/20,"ProyectoC","Desarrollo",24,"CA"
01/01/20,"ProyectoB","Capacitación",1,"LC"
01/01/20,"ProyectoB","Test",1,"AG"
01/01/20,"ProyectoB","Reunion",1,"AS"
01/01/20,"ProyectoC","Desarrollo",16,"CA"
01/01/20,"ProyectoF","Desarrollo",8,"CA"
01/01/20,"ProyectoC","Desarrollo",2,"CA"
01/01/20,"ProyectoM","Desarrollo",1,"PA"
01/01/20,"ProyectoF","Desarrollo",8,"CA"
01/01/20,"ProyectoF","Desarrollo",3,"CA"
01/01/20,"ProyectoO","Test",2,"AG"
01/01/20,"ProyectoB","Test",2,"LC"
01/01/20,"ProyectoB","Test",2,"AG"
01/01/20,"ProyectoB","Reunión",2,"AS"
01/01/20,"ProyectoB","Revisión",2,"LM"
01/01/20,"ProyectoC","Test",6,"AG"
01/01/20,"ProyectoM","Revisión",4,"LM"
01/01/20,"ProyectoF","Test",2,"LC"
01/01/20,"ProyectoK","Test",2,"LC"
01/01/20,"ProyectoK","Test",1,"LC"
01/01/20,"ProyectoD","Test",2,"AG"
01/01/20,"ProyectoL","Test",1,"AG"
01/01/20,"ProyectoF","Desarrollo",16,"CA"
01/01/20,"ProyectoH","Desarrollo",16,"CA"
01/01/20,"ProyectoE","Revisión",4,"AA"
01/01/20,"ProyectoE","Revisión",4,"AA"
01/01/20,"ProyectoM","Desarrollo",10,"NS"
01/01/20,"ProyectoO","Asignación",16,"MI"
01/02/20,"ProyectoB","Test",1,"AG"
01/02/20,"ProyectoC","Test",3,"AG"
01/02/20,"Generales","Asignación",1,"MI"
01/02/20,"ProyectoB","Test",2,"AG"
01/02/20,"ProyectoB","Test",1,"AG"
01/02/20,"ProyectoB","Asignación",1,"MI"
01/02/20,"ProyectoB","Kickoff",1,"AS"
01/02/20,"ProyectoF","Desarrollo",32,"CA"
01/02/20,"ProyectoC","Desarrollo",22,"CA"
01/02/20,"ProyectoF","Test",6,"LC"
01/02/20,"ProyectoF","Test",8,"LC"
01/02/20,"ProyectoB","Reunión",1,"AS"
01/02/20,"ProyectoB","Test",1,"AG"
01/02/20,"ProyectoB","Reunión",1,"AS"
01/02/20,"ProyectoB","Asignación",1,"MI"
01/02/20,"ProyectoM","Desarrollo",18,"PA"
01/02/20,"ProyectoM","Desarrollo",20,"PA"
01/02/20,"ProyectoM","Desarrollo",32,"PA"
01/02/20,"ProyectoM","Desarrollo",6,"PA"
01/02/20,"ProyectoF","Bug",12,"PA"
01/02/20,"ProyectoF","Bug",10,"PA"
01/02/20,"ProyectoF","Bug",8,"PA"
01/02/20,"ProyectoF","Bug",8,"PA"
01/02/20,"ProyectoF","Bug",5,"PA"
01/02/20,"ProyectoF","Bug",5,"PA"
01/02/20,"ProyectoF","Bug",5,"PA"
01/02/20,"ProyectoF","Bug",8,"PA"
01/02/20,"ProyectoF","Bug",2,"PA"
01/02/20,"ProyectoF","Test",4,"LC"
01/02/20,"ProyectoB","Test",10,"AG"
01/02/20,"ProyectoM","Reunión",1,"AS"
01/02/20,"ProyectoM","Test",1,"LC"
01/02/20,"ProyectoO","Asignación",16,"MI"
01/02/20,"ProyectoF","Desarrollo",24,"CA"
01/03/20,"ProyectoB","Desarrollo",32,"CA"
01/03/20,"ProyectoC","Desarrollo",7,"CA"
01/03/20,"ProyectoB","Test",1,"AG"
01/03/20,"ProyectoH","Desarrollo",24,"CA"
01/03/20,"ProyectoK","Desarrollo",16,"CA"
01/03/20,"ProyectoN","Desarrollo",60,"CA"
01/03/20,"ProyectoN","Desarrollo",4,"CA"
01/03/20,"ProyectoC","Test",1,"LC"
01/03/20,"ProyectoE","Desarrollo",16,"CA"
01/03/20,"ProyectoN","Estimación",4,"AS"
01/03/20,"ProyectoN","Desarrollo",64,"JC"
01/03/20,"ProyectoM","Desarrollo",50,"PA"
01/03/20,"ProyectoM","Desarrollo",6,"PA"
01/03/20,"ProyectoM","Desarrollo",24,"PA"
01/03/20,"ProyectoM","Desarrollo",4,"PA"
01/03/20,"ProyectoM","Desarrollo",2,"PA"
01/03/20,"ProyectoN","Desarrollo",3,"PA"
01/03/20,"ProyectoN","Desarrollo",48,"PA"
01/03/20,"ProyectoN","Desarrollo",8,"JC"
01/03/20,"ProyectoE","Revisión",32,"AA"
01/03/20,"ProyectoN","Desarrollo",8,"JC"
01/03/20,"ProyectoN","Desarrollo",9,"JC"
01/03/20,"ProyectoO","Asignación",16,"MI"
01/03/20,"ProyectoH","Desarrollo",3,"NS"
01/03/20,"ProyectoH","Revisión",4,"LM"
01/03/20,"ProyectoH","Revisión",4,"LM"
01/03/20,"ProyectoH","Revisión",8,"LM"
01/03/20,"ProyectoN","Revisión",4,"LM"
01/03/20,"ProyectoN","Revisión",16,"LM"
01/03/20,"ProyectoN","Test",8,"AG"
01/04/20,"ProyectoN","Desarrollo",32,"JC"
01/04/20,"ProyectoN","Test",8,"AG"
01/04/20,"ProyectoN","Desarrollo",8,"JC"
01/04/20,"ProyectoN","Desarrollo",8,"JC"
01/04/20,"ProyectoC","Test",24,"AG"
01/04/20,"ProyectoN","Reunión",5,"AS"
01/04/20,"ProyectoN","Desarrollo",124,"CA"
01/04/20,"ProyectoN","Desarrollo",1,"CA"
01/04/20,"ProyectoN","Desarrollo",2,"CA"
01/04/20,"ProyectoN","Test",1,"AG"
01/04/20,"ProyectoN","Test",2,"AG"
01/04/20,"ProyectoN","Test",12,"LC"
01/04/20,"ProyectoN","Test",20,"LC"
01/04/20,"ProyectoF","Test",2,"LC"
01/04/20,"ProyectoF","Desarrollo",2,"CA"
01/04/20,"ProyectoN","Reunión",1,"AS"
01/04/20,"ProyectoN","Estimación",2,"AS"
01/04/20,"ProyectoN","Test",1,"AG"
01/04/20,"ProyectoN","Test",4,"AG"
01/04/20,"ProyectoP","Desarrollo",10,"NS"
01/04/20,"ProyectoI","Revisión",25,"AA"
01/04/20,"ProyectoP","Reunión",3,"AS"
01/04/20,"ProyectoC","Estimación",4,"AS"
01/04/20,"ProyectoM","Reuníon",3,"AS"
01/04/20,"ProyectoN","Desarrollo",101,"PA"
01/04/20,"ProyectoM","Desarrollo",12,"PA"
01/04/20,"ProyectoF","Bug",8,"PA"
01/04/20,"ProyectoN","Desarrollo",10,"CA"
01/04/20,"ProyectoN","Desarrollo",88,"JC"
01/04/20,"ProyectoB","Revisión",4,"LM"
01/04/20,"ProyectoN","Revisión",4,"LM"
01/04/20,"ProyectoN","Revisión",12,"LM"
01/04/20,"ProyectoN","Desarrollo",8,"JC"
01/04/20,"ProyectoN","Desarrollo",8,"JC"
01/04/20,"ProyectoF","Desarrollo",4,"CA"
01/04/20,"ProyectoF","Test",4,"AG"
01/04/20,"ProyectoN","Test",1,"AG"
01/04/20,"ProyectoI","Test",1,"AG"
01/04/20,"ProyectoC","Test",1,"AG"
01/04/20,"ProyectoN","Test",2,"AG"
01/04/20,"ProyectoF","Test",1,"LC"
01/04/20,"ProyectoF","Test",1,"LC"
01/04/20,"ProyectoN","Desarrollo",8,"JC"
01/04/20,"ProyectoF","Desarrollo",4,"CA"
01/05/20,"ProyectoF","Test",6,"AG"
